
Date / Time: Fri Mar 31 01:23:50 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 9
Tests per train(min): 100
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (0):: Fit: 50.3602	PB: 50.3602	LB: 50.3602	GB: 50.3602	Conf: 2	Pts: 110099
Particle (21):: Fit: 52.3506	PB: 52.3506	LB: 98.0035	GB: 111.761	Conf: 1.96257	Pts: 55297
Particle (25):: Fit: 50.3602	PB: 50.3602	LB: 89.4186	GB: 111.761	Conf: 2	Pts: 55297
Particle (27):: Fit: 52.0183	PB: 52.0183	LB: 89.4186	GB: 111.761	Conf: 0.658515	Pts: 55297
Particle (29):: Fit: 104.124	PB: 104.124	LB: 104.124	GB: 111.761	Conf: 1.89827	Pts: 160297
Particle (35):: Fit: 48.4205	PB: 48.4205	LB: 110.375	GB: 111.761	Conf: 2	Pts: 55297
Particle (40):: Fit: 106.726	PB: 106.726	LB: 110.375	GB: 111.761	Conf: 1.86803	Pts: 110197
Particle (3):: Fit: 49.1999	PB: 49.1999	LB: 111.761	GB: 111.761	Conf: 2	Pts: 55296
Particle (18):: Fit: 51.892	PB: 51.892	LB: 108.465	GB: 111.761	Conf: 2	Pts: 60296
Particle (19):: Fit: 56.024	PB: 56.024	LB: 108.465	GB: 111.761	Conf: 2	Pts: 65196
Particle (20):: Fit: 53.4074	PB: 53.4074	LB: 98.0035	GB: 111.761	Conf: 2	Pts: 70196
Particle (22):: Fit: 84.5923	PB: 84.5923	LB: 84.5923	GB: 111.761	Conf: 1.39723	Pts: 120296
Particle (23):: Fit: 50.7448	PB: 50.7448	LB: 84.5923	GB: 111.761	Conf: 2	Pts: 55196
Particle (26):: Fit: 49.1513	PB: 49.1513	LB: 104.124	GB: 111.761	Conf: 1.98433	Pts: 60196
Particle (30):: Fit: 51.1282	PB: 51.1282	LB: 104.124	GB: 111.761	Conf: 2	Pts: 55296
Particle (35):: Fit: 52.6516	PB: 52.6516	LB: 110.375	GB: 111.761	Conf: 2	Pts: 55396
Particle (37):: Fit: 51.7954	PB: 51.7954	LB: 110.375	GB: 111.761	Conf: 0.161297	Pts: 55295
Particle (39):: Fit: 52.4395	PB: 52.4395	LB: 110.375	GB: 111.761	Conf: 0.563456	Pts: 55196
Particle (41):: Fit: 90.6949	PB: 90.6949	LB: 106.726	GB: 111.761	Conf: 1.19619	Pts: 50296
Particle (1):: Fit: 53.1106	PB: 53.1106	LB: 111.761	GB: 111.761	Conf: 1.92282	Pts: 110195
Particle (13):: Fit: 52.2723	PB: 52.2723	LB: 108.465	GB: 111.761	Conf: 2	Pts: 55395
Particle (15):: Fit: 113.629	PB: 113.629	LB: 113.629	GB: 113.629	Conf: 1.80983	Pts: 170195
Particle (26):: Fit: 50.3818	PB: 50.3818	LB: 104.124	GB: 113.629	Conf: 1.96651	Pts: 60295
Particle (28):: Fit: 106.181	PB: 106.181	LB: 106.181	GB: 113.629	Conf: 1.96233	Pts: 110195
Particle (31):: Fit: 51.837	PB: 51.837	LB: 110.375	GB: 113.629	Conf: 0.926036	Pts: 60194
Particle (32):: Fit: 50.7654	PB: 50.7654	LB: 110.375	GB: 113.629	Conf: 0.701347	Pts: 55295
Particle (33):: Fit: 52.2723	PB: 52.2723	LB: 110.375	GB: 113.629	Conf: 2	Pts: 70195
Particle (40):: Fit: 109.311	PB: 109.311	LB: 110.375	GB: 113.629	Conf: 1.90234	Pts: 120295
Global: 113.629 - Correct: 44% of 100 tests
Global Best: 
  Inner Net 1
  -- 1 : 1 = 0.316
  -- 1 : 2 = 0.9411
  -- 1 : 3 = 0.5819
  -- 1 : 4 = 0.1903
  -- 1 : 5 = 0.0063
  -- 1 : 6 = 0.5898
  -- 1 : 7 = 0.6871
  -- 1 : 8 = 0.6634
  -- 1 : 9 = 0.3936
  -- 2 : 1 = 0.24
  -- 2 : 2 = 0.5246
  -- 2 : 3 = 0.204
  -- 2 : 4 = 0.5289
  -- 2 : 5 = 0.8744
  -- 2 : 6 = 0.1173
  -- 2 : 7 = 0.2987
  -- 2 : 8 = 0.8007
  -- 2 : 9 = 0.36
  -- 3 : 1 = 0.6218
  -- 3 : 2 = 0.2476
  -- 3 : 3 = 0.8695
  -- 3 : 4 = 0.0703
  -- 3 : 5 = 0.1681
  -- 3 : 6 = 0.8216
  -- 3 : 7 = 0.3451
  -- 3 : 8 = 0.4157
  -- 3 : 9 = 0.8724
  -- 4 : 1 = 0.9753
  -- 4 : 2 = 0.6032
  -- 4 : 3 = 0.3128
  -- 4 : 4 = 0.217
  -- 4 : 5 = 0.4978
  -- 4 : 6 = 0.035
  -- 4 : 7 = 0.1828
  -- 4 : 8 = 0.0855
  -- 4 : 9 = 0.6591
  -- 5 : 1 = 0.7087
  -- 5 : 2 = 0.0834
  -- 5 : 3 = 0.7541
  -- 5 : 4 = 0.75
  -- 5 : 5 = 0.8164
  -- 5 : 6 = 0.626
  -- 5 : 7 = 0.6352
  -- 5 : 8 = 0.2629
  -- 5 : 9 = 0.2676
  -- 6 : 1 = 0.2639
  -- 6 : 2 = 0.46
  -- 6 : 3 = 0.307
  -- 6 : 4 = 0.127
  -- 6 : 5 = 0.5602
  -- 6 : 6 = 0.3091
  -- 6 : 7 = 0.6036
  -- 6 : 8 = 0.6578
  -- 6 : 9 = 0.511
  -- 7 : 1 = 0.949
  -- 7 : 2 = 0.762
  -- 7 : 3 = 0.6675
  -- 7 : 4 = 0.2743
  -- 7 : 5 = 0.7749
  -- 7 : 6 = 0.0298
  -- 7 : 7 = 0.7951
  -- 7 : 8 = 0.7459
  -- 7 : 9 = 0.6657
  -- 8 : 1 = 0.6476
  -- 8 : 2 = 0.0058
  -- 8 : 3 = 0.0112
  -- 8 : 4 = 0.248
  -- 8 : 5 = 0.5096
  -- 8 : 6 = 0.5927
  -- 8 : 7 = 0.5618
  -- 8 : 8 = 0.1705
  -- 8 : 9 = 0.8139
  -- 9 : 1 = 0.8913
  -- 9 : 2 = 0.9645
  -- 9 : 3 = 0.885
  -- 9 : 4 = 0.1284
  -- 9 : 5 = 0.5753
  -- 9 : 6 = 0.3192
  -- 9 : 7 = 0.3028
  -- 9 : 8 = 0.2153
  -- 9 : 9 = 0.1697
  -- 10 : 1 = 0.7475
  -- 10 : 2 = 0.3326
  -- 10 : 3 = 0.996
  -- 10 : 4 = 0.4345
  -- 10 : 5 = 0.2026
  -- 10 : 6 = 0.222
  -- 10 : 7 = 0.2144
  -- 10 : 8 = 0.5319
  -- 10 : 9 = 0.6554
  Inner Net 2
  -- 1 : 1 = -0.131635
  -- 1 : 2 = -0.300129
  -- 2 : 1 = -0.0335185
  -- 2 : 2 = 0.401194
  -- 3 : 1 = 0.067089
  -- 3 : 2 = 0.264903
  -- 4 : 1 = 0.327674
  -- 4 : 2 = -0.151606
  -- 5 : 1 = 0.525264
  -- 5 : 2 = 0.0041498
  -- 6 : 1 = 0.108699
  -- 6 : 2 = 0.114192
  -- 7 : 1 = -0.25945
  -- 7 : 2 = -0.177865
  -- 8 : 1 = -0.139922
  -- 8 : 2 = -0.416904
  -- 9 : 1 = -0.37477
  -- 9 : 2 = -0.235731
Out\Act	False		True
False	0.84198	0	0.84198
True	0.15802	0	0.15802
	1	0
	Accuracy [ (tp + tn) / testSize ]: 0.84198
	Precision [ tp / (tp + fp) ]:      0
	Sensitivity [ tp / (tp + fn) ]:    0
	Specificity [ tn / (tn + fp) ]:    0.999435
	F-Score [ 2tp / (2tp + fp + fn) ]: 0
Particle (0):: Fit: 51.5106	PB: 51.5106	LB: 111.739	GB: 113.629	Conf: 2	Pts: 110294
Particle (3):: Fit: 51.1282	PB: 51.1282	LB: 111.761	GB: 113.629	Conf: 2	Pts: 55394
Particle (5):: Fit: 53.03	PB: 53.03	LB: 111.761	GB: 113.629	Conf: 2	Pts: 55394
Particle (9):: Fit: 102.15	PB: 102.15	LB: 111.761	GB: 113.629	Conf: 1.92746	Pts: 55294
Particle (11):: Fit: 107.758	PB: 107.758	LB: 113.629	GB: 113.629	Conf: 1.97837	Pts: 55194
Particle (13):: Fit: 53.4074	PB: 53.4074	LB: 113.629	GB: 113.629	Conf: 2	Pts: 55494
Particle (22):: Fit: 90.7746	PB: 90.7746	LB: 90.7746	GB: 113.629	Conf: 0.769702	Pts: 125394
Particle (27):: Fit: 52.233	PB: 52.233	LB: 106.181	GB: 113.629	Conf: 0.195172	Pts: 55393
Particle (45):: Fit: 52.2723	PB: 52.2723	LB: 111.739	GB: 113.629	Conf: 2	Pts: 50194
Particle (0):: Fit: 51.892	PB: 51.892	LB: 111.739	GB: 113.629	Conf: 2	Pts: 110393
Particle (4):: Fit: 50.7448	PB: 50.7448	LB: 111.761	GB: 113.629	Conf: 2	Pts: 65293
Particle (7):: Fit: 51.7809	PB: 51.7809	LB: 111.761	GB: 113.629	Conf: 0.150737	Pts: 55292
Particle (8):: Fit: 52.2723	PB: 52.2723	LB: 111.761	GB: 113.629	Conf: 2	Pts: 65293
Particle (10):: Fit: 110.057	PB: 110.057	LB: 113.629	GB: 113.629	Conf: 1.74297	Pts: 110293
Particle (14):: Fit: 111.31	PB: 111.31	LB: 113.629	GB: 113.629	Conf: 1.8996	Pts: 110193
Particle (21):: Fit: 107.958	PB: 107.958	LB: 107.958	GB: 113.629	Conf: 1.93683	Pts: 85393
Particle (27):: Fit: 52.8318	PB: 52.8318	LB: 106.181	GB: 113.629	Conf: 0.694977	Pts: 55492
