
Date / Time: Fri Mar 31 01:33:06 2017

   ****************************************
   * PSO Neural Net (Gaussian Activation) *
   *       by William Boler, BSCE         *
   *     Research Assistant, IUPUI        *
   *                                      *
   *  Professor: Dr. Lauren Christopher   *
   *     Created: March 13, 2017          *
   ****************************************


Inputs: 10
Inner Nets: 1
 - 9
Tests per train(min): 100
Particles: 50
Neighbors: 10
Minimum Particle Iterations: 1000
Particle (0):: Fit: 29.9108	PB: 29.9108	LB: 29.9108	GB: 29.9108	Conf: 1.93469	Pts: 110099
Particle (13):: Fit: 39.4564	PB: 39.4564	LB: 40.8974	GB: 57.7418	Conf: 2	Pts: 65099
Particle (14):: Fit: 41.8553	PB: 41.8553	LB: 41.8553	GB: 57.7418	Conf: 2	Pts: 100099
Particle (15):: Fit: 36.5585	PB: 36.5585	LB: 41.8553	GB: 57.7418	Conf: 2	Pts: 55099
Particle (16):: Fit: 37.527	PB: 37.527	LB: 41.8553	GB: 57.7418	Conf: 2	Pts: 60099
Particle (17):: Fit: 38.9759	PB: 38.9759	LB: 41.8553	GB: 57.7418	Conf: 1.98064	Pts: 65099
Particle (18):: Fit: 38.9705	PB: 38.9705	LB: 41.8553	GB: 57.7418	Conf: 1.96574	Pts: 55099
Particle (19):: Fit: 80.42	PB: 80.42	LB: 80.42	GB: 80.42	Conf: 1.82045	Pts: 110099
Particle (20):: Fit: 34.1254	PB: 34.1254	LB: 80.42	GB: 80.42	Conf: 2	Pts: 55099
Particle (21):: Fit: 35.5829	PB: 35.5829	LB: 80.42	GB: 80.42	Conf: 1.92403	Pts: 60099
Particle (22):: Fit: 35.8131	PB: 35.8131	LB: 80.42	GB: 80.42	Conf: 1.98281	Pts: 65099
Particle (23):: Fit: 57.334	PB: 57.334	LB: 80.42	GB: 80.42	Conf: 0.966107	Pts: 70099
Particle (24):: Fit: 35.1008	PB: 35.1008	LB: 57.334	GB: 80.42	Conf: 2	Pts: 55099
Particle (25):: Fit: 37.043	PB: 37.043	LB: 57.334	GB: 80.42	Conf: 2	Pts: 60099
Particle (26):: Fit: 37.527	PB: 37.527	LB: 57.334	GB: 80.42	Conf: 2	Pts: 65099
Particle (27):: Fit: 36.0733	PB: 36.0733	LB: 57.334	GB: 80.42	Conf: 2	Pts: 55099
Particle (28):: Fit: 42.3335	PB: 42.3335	LB: 42.3335	GB: 80.42	Conf: 2	Pts: 75099
Particle (29):: Fit: 41.8553	PB: 41.8553	LB: 42.3335	GB: 80.42	Conf: 2	Pts: 55099
Particle (30):: Fit: 38.0102	PB: 38.0102	LB: 42.3335	GB: 80.42	Conf: 2	Pts: 55099
Particle (31):: Fit: 40.4176	PB: 40.4176	LB: 42.3335	GB: 80.42	Conf: 2	Pts: 60099
Particle (32):: Fit: 37.0752	PB: 37.0752	LB: 42.3335	GB: 80.42	Conf: 1.89135	Pts: 55099
Particle (33):: Fit: 67.9098	PB: 67.9098	LB: 67.9098	GB: 80.42	Conf: 0.789119	Pts: 100099
Particle (34):: Fit: 38.4962	PB: 38.4962	LB: 67.9098	GB: 80.42	Conf: 1.82343	Pts: 55099
Particle (35):: Fit: 42.3335	PB: 42.3335	LB: 67.9098	GB: 80.42	Conf: 2	Pts: 60099
Particle (36):: Fit: 82.1603	PB: 82.1603	LB: 82.1603	GB: 82.1603	Conf: 1.90069	Pts: 110099
Particle (37):: Fit: 77.3096	PB: 77.3096	LB: 82.1603	GB: 82.1603	Conf: 1.97018	Pts: 55099
Particle (38):: Fit: 42.8111	PB: 42.8111	LB: 82.1603	GB: 82.1603	Conf: 2	Pts: 55099
Particle (39):: Fit: 40.9031	PB: 40.9031	LB: 82.1603	GB: 82.1603	Conf: 1.96226	Pts: 55099
Particle (40):: Fit: 38.0102	PB: 38.0102	LB: 82.1603	GB: 82.1603	Conf: 2	Pts: 55099
Particle (41):: Fit: 42.8111	PB: 42.8111	LB: 77.3096	GB: 82.1603	Conf: 2	Pts: 65099
Particle (42):: Fit: 38.5165	PB: 38.5165	LB: 42.8111	GB: 82.1603	Conf: 0.948408	Pts: 50099
Particle (43):: Fit: 44.7169	PB: 44.7169	LB: 44.7169	GB: 82.1603	Conf: 2	Pts: 80099
Particle (44):: Fit: 69.3924	PB: 69.3924	LB: 69.3924	GB: 82.1603	Conf: 1.00077	Pts: 85099
Particle (45):: Fit: 39.5038	PB: 39.5038	LB: 69.3924	GB: 82.1603	Conf: 0.13429	Pts: 50099
Particle (46):: Fit: 34.6087	PB: 34.6087	LB: 69.3924	GB: 82.1603	Conf: 1.74774	Pts: 50099
Particle (47):: Fit: 35.5874	PB: 35.5874	LB: 69.3924	GB: 82.1603	Conf: 2	Pts: 50099
Particle (48):: Fit: 70.1103	PB: 70.1103	LB: 70.1103	GB: 82.1603	Conf: 1.96642	Pts: 100099
Particle (49):: Fit: 40.8698	PB: 40.8698	LB: 70.1103	GB: 82.1603	Conf: 1.94889	Pts: 50099
Global: 82.1603 - Correct: 52% of 100 tests
Global Best: 
  Inner Net 1
  -- 1 : 1 = 0.0566
  -- 1 : 2 = 0.5843
  -- 1 : 3 = 0.3356
  -- 1 : 4 = 0.4051
  -- 1 : 5 = 0.4844
  -- 1 : 6 = 0.2658
  -- 1 : 7 = 0.2544
  -- 1 : 8 = 0.0792
  -- 1 : 9 = 0.3172
  -- 2 : 1 = 0.7875
  -- 2 : 2 = 0.1312
  -- 2 : 3 = 0.1244
  -- 2 : 4 = 0.1678
  -- 2 : 5 = 0.7032
  -- 2 : 6 = 0.2585
  -- 2 : 7 = 0.4854
  -- 2 : 8 = 0.7393
  -- 2 : 9 = 0.2506
  -- 3 : 1 = 0.645
  -- 3 : 2 = 0.0112
  -- 3 : 3 = 0.6226
  -- 3 : 4 = 0.2219
  -- 3 : 5 = 0.0274
  -- 3 : 6 = 0.7896
  -- 3 : 7 = 0.3621
  -- 3 : 8 = 0.091
  -- 3 : 9 = 0.2384
  -- 4 : 1 = 0.1974
  -- 4 : 2 = 0.6532
  -- 4 : 3 = 0.0858
  -- 4 : 4 = 0.1674
  -- 4 : 5 = 0.6383
  -- 4 : 6 = 0.6622
  -- 4 : 7 = 0.2299
  -- 4 : 8 = 0.2314
  -- 4 : 9 = 0.9466
  -- 5 : 1 = 0.2705
  -- 5 : 2 = 0.3033
  -- 5 : 3 = 0.5462
  -- 5 : 4 = 0.9825
  -- 5 : 5 = 0.8667
  -- 5 : 6 = 0.1469
  -- 5 : 7 = 0.2711
  -- 5 : 8 = 0.2458
  -- 5 : 9 = 0.3629
  -- 6 : 1 = 0.1521
  -- 6 : 2 = 0.3789
  -- 6 : 3 = 0.8006
  -- 6 : 4 = 0.2754
  -- 6 : 5 = 0.3447
  -- 6 : 6 = 0.0912
  -- 6 : 7 = 0.7225
  -- 6 : 8 = 0.731
  -- 6 : 9 = 0.9213
  -- 7 : 1 = 0.7865
  -- 7 : 2 = 0.7628
  -- 7 : 3 = 0.3306
  -- 7 : 4 = 0.3071
  -- 7 : 5 = 0.3603
  -- 7 : 6 = 0.2704
  -- 7 : 7 = 0.7471
  -- 7 : 8 = 0.2557
  -- 7 : 9 = 0.7644
  -- 8 : 1 = 0.4964
  -- 8 : 2 = 0.9281
  -- 8 : 3 = 0.3983
  -- 8 : 4 = 0.3857
  -- 8 : 5 = 0.6776
  -- 8 : 6 = 0.6559
  -- 8 : 7 = 0.1015
  -- 8 : 8 = 0.6665
  -- 8 : 9 = 0.6226
  -- 9 : 1 = 0.7527
  -- 9 : 2 = 0.471
  -- 9 : 3 = 0.272
  -- 9 : 4 = 0.4113
  -- 9 : 5 = 0.8831
  -- 9 : 6 = 0.7617
  -- 9 : 7 = 0.8855
  -- 9 : 8 = 0.2881
  -- 9 : 9 = 0.1314
  -- 10 : 1 = 0.5845
  -- 10 : 2 = 0.721
  -- 10 : 3 = 0.5567
  -- 10 : 4 = 0.1559
  -- 10 : 5 = 0.8313
  -- 10 : 6 = 0.9874
  -- 10 : 7 = 0.5741
  -- 10 : 8 = 0.7416
  -- 10 : 9 = 0.0483
  Inner Net 2
  -- 1 : 1 = 0.0472728
  -- 1 : 2 = 0.3663
  -- 2 : 1 = 0.0188022
  -- 2 : 2 = -0.123649
  -- 3 : 1 = 0.4338
  -- 3 : 2 = -0.0088687
  -- 4 : 1 = 0.3376
  -- 4 : 2 = -0.1567
  -- 5 : 1 = -0.0896
  -- 5 : 2 = 0.0814
  -- 6 : 1 = 0.0101
  -- 6 : 2 = -0.2453
  -- 7 : 1 = -0.0183
  -- 7 : 2 = 0.0588
  -- 8 : 1 = -0.1062
  -- 8 : 2 = 0.4846
  -- 9 : 1 = -0.144772
  -- 9 : 2 = -0.2621
Out\Act	False		True
False	0.794384	0.0475964	0.84198
True	0.151356	0.00666349	0.15802
	0.94574	0.0542599
	Accuracy [ (tp + tn) / testSize ]: 0.801047
	Precision [ tp / (tp + fp) ]:      0.121739
	Sensitivity [ tp / (tp + fn) ]:    0.042042
	Specificity [ tn / (tn + fp) ]:    0.942938
	F-Score [ 2tp / (2tp + fp + fn) ]: 0.0626398
Particle (0):: Fit: 34.8487	PB: 34.8487	LB: 70.1103	GB: 82.1603	Conf: 1.86125	Pts: 110198
Particle (2):: Fit: 42.3335	PB: 42.3335	LB: 70.1103	GB: 82.1603	Conf: 2	Pts: 55198
Particle (5):: Fit: 39.2365	PB: 39.2365	LB: 57.7418	GB: 82.1603	Conf: 1.98609	Pts: 55198
Particle (6):: Fit: 36.0733	PB: 36.0733	LB: 57.7418	GB: 82.1603	Conf: 2	Pts: 55198
Particle (7):: Fit: 84.1018	PB: 84.1018	LB: 84.1018	GB: 84.1018	Conf: 1.27321	Pts: 125198
Particle (11):: Fit: 41.1292	PB: 41.1292	LB: 84.1018	GB: 84.1018	Conf: 0.491091	Pts: 55197
Particle (12):: Fit: 41.3809	PB: 41.3809	LB: 41.8553	GB: 84.1018	Conf: 1.98184	Pts: 60198
Particle (14):: Fit: 42.8111	PB: 42.8111	LB: 80.42	GB: 84.1018	Conf: 2	Pts: 110198
Particle (15):: Fit: 41.8553	PB: 41.8553	LB: 80.42	GB: 84.1018	Conf: 2	Pts: 55198
Particle (16):: Fit: 41.3766	PB: 41.3766	LB: 80.42	GB: 84.1018	Conf: 2	Pts: 60198
Particle (18):: Fit: 39.459	PB: 39.459	LB: 80.42	GB: 84.1018	Conf: 1.90535	Pts: 55198
Particle (20):: Fit: 42.3335	PB: 42.3335	LB: 80.42	GB: 84.1018	Conf: 2	Pts: 55198
Particle (21):: Fit: 38.0066	PB: 38.0066	LB: 80.42	GB: 84.1018	Conf: 1.94004	Pts: 60198
Particle (24):: Fit: 39.4564	PB: 39.4564	LB: 57.334	GB: 84.1018	Conf: 2	Pts: 55198
Particle (25):: Fit: 38.4929	PB: 38.4929	LB: 57.334	GB: 84.1018	Conf: 2	Pts: 60198
Particle (26):: Fit: 38.9749	PB: 38.9749	LB: 57.334	GB: 84.1018	Conf: 2	Pts: 65198
Particle (27):: Fit: 36.5585	PB: 36.5585	LB: 57.334	GB: 84.1018	Conf: 2	Pts: 55198
Particle (30):: Fit: 39.9373	PB: 39.9373	LB: 67.9098	GB: 84.1018	Conf: 2	Pts: 55198
Particle (32):: Fit: 43.3069	PB: 43.3069	LB: 82.1603	GB: 84.1018	Conf: 1.91854	Pts: 55198
Particle (35):: Fit: 42.455	PB: 42.455	LB: 82.1603	GB: 84.1018	Conf: 1.96007	Pts: 60198
Particle (36):: Fit: 86.0379	PB: 86.0379	LB: 86.0379	GB: 86.0379	Conf: 1.95435	Pts: 170198
Particle (39):: Fit: 83.1602	PB: 83.1602	LB: 86.0379	GB: 86.0379	Conf: 1.88193	Pts: 70198
Particle (40):: Fit: 38.4929	PB: 38.4929	LB: 86.0379	GB: 86.0379	Conf: 2	Pts: 55198
Particle (45):: Fit: 57.272	PB: 57.272	LB: 70.1103	GB: 86.0379	Conf: 0.605594	Pts: 50198
Particle (46):: Fit: 84.2496	PB: 84.2496	LB: 84.2496	GB: 86.0379	Conf: 1.64479	Pts: 100198
Particle (47):: Fit: 36.5585	PB: 36.5585	LB: 84.2496	GB: 86.0379	Conf: 2	Pts: 50198
Particle (48):: Fit: 93.3397	PB: 93.3397	LB: 93.3397	GB: 93.3397	Conf: 1.91969	Pts: 160198
Particle (49):: Fit: 67.6161	PB: 67.6161	LB: 93.3397	GB: 93.3397	Conf: 1.89048	Pts: 50198
Global: 93.3397 - Correct: 46% of 100 tests
Global Best: 
  Inner Net 1
  -- 1 : 1 = 0.7713
  -- 1 : 2 = 0.7663
  -- 1 : 3 = 0.8423
  -- 1 : 4 = 0.2966
  -- 1 : 5 = 0.6068
  -- 1 : 6 = 0.8585
  -- 1 : 7 = 0.4827
  -- 1 : 8 = 0.5456
  -- 1 : 9 = 0.5219
  -- 2 : 1 = 0.3771
  -- 2 : 2 = 0.4319
  -- 2 : 3 = 0.6172
  -- 2 : 4 = 0.1861
  -- 2 : 5 = 0.6041
  -- 2 : 6 = 0.8401
  -- 2 : 7 = 0.0481
  -- 2 : 8 = 0.7293
  -- 2 : 9 = 0.2498
  -- 3 : 1 = 0.748
  -- 3 : 2 = 0.7156
  -- 3 : 3 = 0.9254
  -- 3 : 4 = 0.6702
  -- 3 : 5 = 0.1373
  -- 3 : 6 = 0.1825
  -- 3 : 7 = 0.0336
  -- 3 : 8 = 0.0099
  -- 3 : 9 = 0.5544
  -- 4 : 1 = 0.3804
  -- 4 : 2 = 0.1386
  -- 4 : 3 = 0.5038
  -- 4 : 4 = 0.2504
  -- 4 : 5 = 0.8376
  -- 4 : 6 = 0.7264
  -- 4 : 7 = 0.9072
  -- 4 : 8 = 0.1735
  -- 4 : 9 = 0.5352
  -- 5 : 1 = 0.7383
  -- 5 : 2 = 0.3351
  -- 5 : 3 = 0.9245
  -- 5 : 4 = 0.0884
  -- 5 : 5 = 0.2054
  -- 5 : 6 = 0.1136
  -- 5 : 7 = 0.2725
  -- 5 : 8 = 0.4174
  -- 5 : 9 = 0.0647
  -- 6 : 1 = 0.3513
  -- 6 : 2 = 0.9117
  -- 6 : 3 = 0.2918
  -- 6 : 4 = 0.9007
  -- 6 : 5 = 0.2827
  -- 6 : 6 = 0.2273
  -- 6 : 7 = 0.3771
  -- 6 : 8 = 0.8474
  -- 6 : 9 = 0.9816
  -- 7 : 1 = 0.1786
  -- 7 : 2 = 0.8467
  -- 7 : 3 = 0.9947
  -- 7 : 4 = 0.0513
  -- 7 : 5 = 0.6835
  -- 7 : 6 = 0.3212
  -- 7 : 7 = 0.469
  -- 7 : 8 = 0.6139
  -- 7 : 9 = 0.8013
  -- 8 : 1 = 0.4483
  -- 8 : 2 = 0.4446
  -- 8 : 3 = 0.0339
  -- 8 : 4 = 0.4004
  -- 8 : 5 = 0.5462
  -- 8 : 6 = 0.2374
  -- 8 : 7 = 0.4224
  -- 8 : 8 = 0.2241
  -- 8 : 9 = 0.9445
  -- 9 : 1 = 0.5219
  -- 9 : 2 = 0.6968
  -- 9 : 3 = 0.184
  -- 9 : 4 = 0.6798
  -- 9 : 5 = 0.2544
  -- 9 : 6 = 0.4566
  -- 9 : 7 = 0.0805
  -- 9 : 8 = 0.5162
  -- 9 : 9 = 0.6532
  -- 10 : 1 = 0.8954
  -- 10 : 2 = 0.6139
  -- 10 : 3 = 0.2705
  -- 10 : 4 = 0.5071
  -- 10 : 5 = 0.4576
  -- 10 : 6 = 0.9325
  -- 10 : 7 = 0.9685
  -- 10 : 8 = 0.6723
  -- 10 : 9 = 0.0134
  Inner Net 2
  -- 1 : 1 = -0.224109
  -- 1 : 2 = 0.197371
  -- 2 : 1 = -0.0812764
  -- 2 : 2 = -0.246048
  -- 3 : 1 = 0.0398017
  -- 3 : 2 = -0.4383
  -- 4 : 1 = -0.541791
  -- 4 : 2 = -0.0193
  -- 5 : 1 = -0.45235
  -- 5 : 2 = -0.0690696
  -- 6 : 1 = 0.0545638
  -- 6 : 2 = -0.342073
  -- 7 : 1 = 0.166911
  -- 7 : 2 = -0.0172976
  -- 8 : 1 = -0.238506
  -- 8 : 2 = 0.18074
  -- 9 : 1 = -0.100986
  -- 9 : 2 = -0.313771
Out\Act	False		True
False	0.84198	0	0.84198
True	0.15802	0	0.15802
	1	0
	Accuracy [ (tp + tn) / testSize ]: 0.84198
	Precision [ tp / (tp + fp) ]:      0
	Sensitivity [ tp / (tp + fn) ]:    0
	Specificity [ tn / (tn + fp) ]:    0.999435
	F-Score [ 2tp / (2tp + fp + fn) ]: 0
Particle (0):: Fit: 41.9581	PB: 41.9581	LB: 93.3397	GB: 93.3397	Conf: 1.81055	Pts: 110297
Particle (6):: Fit: 44.2412	PB: 44.2412	LB: 84.1018	GB: 93.3397	Conf: 2	Pts: 55297
Particle (11):: Fit: 42.595	PB: 42.595	LB: 84.1018	GB: 93.3397	Conf: 0.431182	Pts: 55296
Particle (17):: Fit: 40.4176	PB: 40.4176	LB: 80.42	GB: 93.3397	Conf: 2	Pts: 65197
Particle (18):: Fit: 73.6766	PB: 73.6766	LB: 80.42	GB: 93.3397	Conf: 1.90389	Pts: 60297
Particle (19):: Fit: 81.9789	PB: 81.9789	LB: 81.9789	GB: 93.3397	Conf: 1.7878	Pts: 160197
Particle (21):: Fit: 40.4176	PB: 40.4176	LB: 81.9789	GB: 93.3397	Conf: 2	Pts: 60297
Particle (22):: Fit: 35.8136	PB: 35.8136	LB: 81.9789	GB: 93.3397	Conf: 1.98065	Pts: 65197
Particle (26):: Fit: 39.9373	PB: 39.9373	LB: 57.334	GB: 93.3397	Conf: 2	Pts: 65297
Particle (27):: Fit: 40.8974	PB: 40.8974	LB: 57.334	GB: 93.3397	Conf: 2	Pts: 55297
Particle (30):: Fit: 41.8553	PB: 41.8553	LB: 67.9098	GB: 93.3397	Conf: 2	Pts: 55297
Particle (31):: Fit: 42.3335	PB: 42.3335	LB: 86.0379	GB: 93.3397	Conf: 2	Pts: 60197
Particle (33):: Fit: 76.0698	PB: 76.0698	LB: 86.0379	GB: 93.3397	Conf: 0.973706	Pts: 115197
Particle (40):: Fit: 39.9373	PB: 39.9373	LB: 86.0379	GB: 93.3397	Conf: 2	Pts: 55297
Particle (42):: Fit: 39.0755	PB: 39.0755	LB: 84.2496	GB: 93.3397	Conf: 0.170191	Pts: 50197
Particle (46):: Fit: 85.2467	PB: 85.2467	LB: 93.3397	GB: 93.3397	Conf: 1.62593	Pts: 110297
Particle (47):: Fit: 41.3766	PB: 41.3766	LB: 93.3397	GB: 93.3397	Conf: 2	Pts: 50297
Particle (0):: Fit: 77.5912	PB: 77.5912	LB: 93.3397	GB: 93.3397	Conf: 1.91121	Pts: 110396
Particle (3):: Fit: 37.674	PB: 37.674	LB: 84.1018	GB: 93.3397	Conf: 0.36155	Pts: 55195
Particle (8):: Fit: 46.4539	PB: 46.4539	LB: 84.1018	GB: 93.3397	Conf: 0.985937	Pts: 60195
Particle (18):: Fit: 86.4537	PB: 86.4537	LB: 86.4537	GB: 93.3397	Conf: 1.96991	Pts: 110396
Particle (19):: Fit: 89.954	PB: 89.954	LB: 89.954	GB: 93.3397	Conf: 1.84607	Pts: 210296
Particle (20):: Fit: 77.6447	PB: 77.6447	LB: 89.954	GB: 93.3397	Conf: 1.96112	Pts: 60296
Particle (21):: Fit: 72.2058	PB: 72.2058	LB: 89.954	GB: 93.3397	Conf: 1.95586	Pts: 65396
Particle (22):: Fit: 38.0102	PB: 38.0102	LB: 89.954	GB: 93.3397	Conf: 2	Pts: 65296
Particle (23):: Fit: 59.5896	PB: 59.5896	LB: 89.954	GB: 93.3397	Conf: 0.878698	Pts: 80196
Particle (36):: Fit: 86.192	PB: 86.192	LB: 86.192	GB: 93.3397	Conf: 1.9481	Pts: 220296
Particle (45):: Fit: 63.4497	PB: 63.4497	LB: 93.3397	GB: 93.3397	Conf: 0.490102	Pts: 50296
Particle (49):: Fit: 76.916	PB: 76.916	LB: 93.3397	GB: 93.3397	Conf: 1.84879	Pts: 50296
Particle (3):: Fit: 38.9935	PB: 38.9935	LB: 84.1018	GB: 93.3397	Conf: 0.978246	Pts: 55294
Particle (9):: Fit: 81.1568	PB: 81.1568	LB: 84.1018	GB: 93.3397	Conf: 1.98437	Pts: 80195
Particle (13):: Fit: 42.8111	PB: 42.8111	LB: 86.4537	GB: 93.3397	Conf: 2	Pts: 65195
Particle (16):: Fit: 42.3335	PB: 42.3335	LB: 89.954	GB: 93.3397	Conf: 2	Pts: 60295
Particle (17):: Fit: 41.3766	PB: 41.3766	LB: 89.954	GB: 93.3397	Conf: 2	Pts: 65295
Particle (24):: Fit: 40.8974	PB: 40.8974	LB: 77.6447	GB: 93.3397	Conf: 2	Pts: 55295
Particle (25):: Fit: 41.8553	PB: 41.8553	LB: 72.2058	GB: 93.3397	Conf: 2	Pts: 60295
Particle (32):: Fit: 75.9288	PB: 75.9288	LB: 86.192	GB: 93.3397	Conf: 1.8835	Pts: 60295
Particle (42):: Fit: 54.8848	PB: 54.8848	LB: 85.2467	GB: 93.3397	Conf: 0.563123	Pts: 50295
Particle (1):: Fit: 78.2422	PB: 78.2422	LB: 93.3397	GB: 93.3397	Conf: 1.98102	Pts: 110194
Particle (4):: Fit: 60.8272	PB: 60.8272	LB: 84.1018	GB: 93.3397	Conf: 1.09178	Pts: 110194
Particle (12):: Fit: 43.765	PB: 43.765	LB: 81.1568	GB: 93.3397	Conf: 2	Pts: 60294
Particle (20):: Fit: 81.2172	PB: 81.2172	LB: 89.954	GB: 93.3397	Conf: 1.97966	Pts: 65394
Particle (32):: Fit: 81.2912	PB: 81.2912	LB: 86.192	GB: 93.3397	Conf: 1.80845	Pts: 80394
Particle (34):: Fit: 81.7432	PB: 81.7432	LB: 86.192	GB: 93.3397	Conf: 1.89146	Pts: 65194
Particle (36):: Fit: 86.5662	PB: 86.5662	LB: 86.5662	GB: 93.3397	Conf: 1.90873	Pts: 270394
Particle (40):: Fit: 44.2412	PB: 44.2412	LB: 86.5662	GB: 93.3397	Conf: 2	Pts: 55394
Particle (47):: Fit: 42.3335	PB: 42.3335	LB: 93.3397	GB: 93.3397	Conf: 2	Pts: 50394
Particle (48):: Fit: 95.3292	PB: 95.3292	LB: 95.3292	GB: 95.3292	Conf: 1.83957	Pts: 220294
Global: 95.3292 - Correct: 40% of 100 tests
Global Best: 
  Inner Net 1
  -- 1 : 1 = 0.7713
  -- 1 : 2 = 0.7663
  -- 1 : 3 = 0.8423
  -- 1 : 4 = 0.2966
  -- 1 : 5 = 0.6068
  -- 1 : 6 = 0.8585
  -- 1 : 7 = 0.4827
  -- 1 : 8 = 0.5456
  -- 1 : 9 = 0.5219
  -- 2 : 1 = 0.3771
  -- 2 : 2 = 0.4319
  -- 2 : 3 = 0.6172
  -- 2 : 4 = 0.1861
  -- 2 : 5 = 0.6041
  -- 2 : 6 = 0.8401
  -- 2 : 7 = 0.0481
  -- 2 : 8 = 0.7293
  -- 2 : 9 = 0.2498
  -- 3 : 1 = 0.748
  -- 3 : 2 = 0.7156
  -- 3 : 3 = 0.9254
  -- 3 : 4 = 0.6702
  -- 3 : 5 = 0.1373
  -- 3 : 6 = 0.1825
  -- 3 : 7 = 0.0336
  -- 3 : 8 = 0.0099
  -- 3 : 9 = 0.5544
  -- 4 : 1 = 0.3804
  -- 4 : 2 = 0.1386
  -- 4 : 3 = 0.5038
  -- 4 : 4 = 0.2504
  -- 4 : 5 = 0.8376
  -- 4 : 6 = 0.7264
  -- 4 : 7 = 0.9072
  -- 4 : 8 = 0.1735
  -- 4 : 9 = 0.5352
  -- 5 : 1 = 0.7383
  -- 5 : 2 = 0.3351
  -- 5 : 3 = 0.9245
  -- 5 : 4 = 0.0884
  -- 5 : 5 = 0.2054
  -- 5 : 6 = 0.1136
  -- 5 : 7 = 0.2725
  -- 5 : 8 = 0.4174
  -- 5 : 9 = 0.0647
  -- 6 : 1 = 0.3513
  -- 6 : 2 = 0.9117
  -- 6 : 3 = 0.2918
  -- 6 : 4 = 0.9007
  -- 6 : 5 = 0.2827
  -- 6 : 6 = 0.2273
  -- 6 : 7 = 0.3771
  -- 6 : 8 = 0.8474
  -- 6 : 9 = 0.9816
  -- 7 : 1 = 0.1786
  -- 7 : 2 = 0.8467
  -- 7 : 3 = 0.9947
  -- 7 : 4 = 0.0513
  -- 7 : 5 = 0.6835
  -- 7 : 6 = 0.3212
  -- 7 : 7 = 0.469
  -- 7 : 8 = 0.6139
  -- 7 : 9 = 0.8013
  -- 8 : 1 = 0.4483
  -- 8 : 2 = 0.4446
  -- 8 : 3 = 0.0339
  -- 8 : 4 = 0.4004
  -- 8 : 5 = 0.5462
  -- 8 : 6 = 0.2374
  -- 8 : 7 = 0.4224
  -- 8 : 8 = 0.2241
  -- 8 : 9 = 0.9445
  -- 9 : 1 = 0.5219
  -- 9 : 2 = 0.6968
  -- 9 : 3 = 0.184
  -- 9 : 4 = 0.6798
  -- 9 : 5 = 0.2544
  -- 9 : 6 = 0.4566
  -- 9 : 7 = 0.0805
  -- 9 : 8 = 0.5162
  -- 9 : 9 = 0.6532
  -- 10 : 1 = 0.8954
  -- 10 : 2 = 0.6139
  -- 10 : 3 = 0.2705
  -- 10 : 4 = 0.5071
  -- 10 : 5 = 0.4576
  -- 10 : 6 = 0.9325
  -- 10 : 7 = 0.9685
  -- 10 : 8 = 0.6723
  -- 10 : 9 = 0.0134
  Inner Net 2
  -- 1 : 1 = -0.250168
  -- 1 : 2 = 0.327418
  -- 2 : 1 = -0.0107705
  -- 2 : 2 = -0.0109686
  -- 3 : 1 = -0.213261
  -- 3 : 2 = -0.0659331
  -- 4 : 1 = -0.835014
  -- 4 : 2 = -0.159426
  -- 5 : 1 = -0.378861
  -- 5 : 2 = -0.221156
  -- 6 : 1 = -0.00620621
  -- 6 : 2 = -0.102681
  -- 7 : 1 = -0.104744
